680,50,120,20,0.0,0.0,1.0
500,90,140,20,0.7,0.2,0.5
100,100,150,20,0.2,0.5,0.4
1700,100,150,20,0.5,0.5,0.2
1000,120,150,20,0.2,0.5,0.4
1200,150,120,20,0.8,0.1,0.3
300,150,180,20,0.5,0.4,0.2
1400,200,160,20,0.2,0.3,0.8
800,200,130,20,0.6,0.4,0.3
580,200,120,20,0.5,0.5,0.1
50,250,110,20,0.3,0.6,0.7
700,250,140,20,0.7,0.4,0.5
450,300,160,20,0.7,0.2,0.5
1600,300,170,20,0.4,0.8,0.2
1000,300,150,20,0.5,0.3,0.7
800,300,170,20,0.5,0.2,0.7
200,350,140,20,0.4,0.7,0.3
1700,350,120,20,0.4,0.7,0.4
550,400,130,20,0.5,0.5,0.1
1000,400,170,20,0.4,0.5,0.7
1200,400,160,20,0.5,0.3,0.7
1800,450,120,20,0.3,0.4,0.5
800,450,170,20,0.1,0.3,0.9
150,500,100,20,0.2,0.6,0.3
680,500,100,20,0.2,0.6,0.3
1600,500,170,20,0.4,0.6,0.3
1400,500,130,20,0.9,0.6,0.3
1700,550,150,20,0.2,0.7,0.4
1100,550,180,20,0.1,0.6,0.4
500,600,110,20,0.8,0.2,0.4
900,600,110,20,0.3,0.5,0.9
300,700,180,20,0.3,0.5,0.9
1200,700,180,20,0.5,0.7,0.4
600,700,140,20,0.8,0.4,0.5
100,760,100,20,0.4,0.8,0.2
300,800,130,20,0.6,0.7,0.3
500,800,170,20,0.7,0.5,0.2
0,960,100,20,0.4,0.8,0.2
100,880,120,20,0.6,0.3,0.8
1500,850,120,20,0.7,0.2,0.6
900,850,150,20,0.2,0.7,0.6
650,900,130,20,0.6,0.4,0.8
1100,900,150,20,0.2,0.5,0.7
1800,900,180,20,0.3,0.4,0.7
1180,950,140,20,0.5,0.5,0.1
350,950,180,20,0.3,0.2,0.9
600,1000,180,20,0.5,0.2,0.8
0,0,1920,20,0.0,0.0,0.0
0,0,20,1080,0.0,0.0,0.0
1900,0,20,1080,0.0,0.0,0.0
1900,0,20,50,1.0,1.0,0.0
